Team,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
BOS,54,2/11/17,@,UTA,W,112,104,121.1,112.5,92.4,0.324,0.423,0.69,48.7,47.6,6.5,7.3,,0.683,16.5,10.3,0.211,,0.453,8.3,72.3,0.302
BOS,55,2/13/17,@,DAL,W,111,98,118.8,104.9,93.4,0.222,0.42,0.624,52.6,70,5.4,6,,0.593,11.9,17.5,0.185,,0.513,12,89.5,0.247
BOS,56,2/15/17,,PHI,W,116,108,106.4,99.1,109,0.45,0.35,0.605,45.3,55.3,11.9,6.5,,0.556,18.7,14.6,0.338,,0.516,17.9,73.3,0.129
BOS,57,2/16/17,@,CHI,L,103,104,118.7,119.9,86.8,0.26,0.481,0.6,37.8,66.7,2.3,6.2,,0.558,7.5,10,0.221,,0.456,6.6,64.3,0.244
BOS,58,2/24/17,@,TOR,L,97,107,108.2,119.4,89.6,0.282,0.487,0.553,46.8,57.6,4.5,4.5,,0.5,11.1,18.4,0.244,,0.525,8.8,74.4,0.272
BOS,59,2/26/17,@,DET,W,104,98,103.2,97.2,100.8,0.353,0.412,0.53,53.6,64.7,8.9,2.1,,0.471,12.5,20.9,0.282,,0.506,15,79.6,0.198
BOS,60,2/27/17,,ATL,L,98,114,94.9,110.4,103.3,0.287,0.391,0.5,42.1,61.8,8.7,10,,0.448,15.5,17.6,0.23,,0.516,11.9,70.5,0.168
BOS,61,3/1/17,,CLE,W,103,99,110.9,106.6,92.8,0.295,0.397,0.584,53.4,77.8,4.3,10.3,,0.545,12,21.6,0.231,,0.462,9,76.5,0.165
BOS,62,3/3/17,@,LAL,W,115,95,111.5,92.1,103.1,0.298,0.393,0.605,57.5,69.8,6.8,3.2,,0.571,15.9,17.6,0.226,,0.46,12.8,87,0.172
BOS,63,3/5/17,@,PHO,L,106,109,104.7,107.6,101.3,0.471,0.435,0.517,51.9,59.4,5.9,8.1,,0.453,10.5,25.9,0.341,,0.468,9.4,80,0.223
BOS,64,3/6/17,@,LAC,L,102,116,104.7,119.1,97.4,0.349,0.422,0.533,44,64.7,9.2,3.8,,0.47,10.3,15.2,0.289,,0.596,12.2,78.9,0.397
BOS,65,3/8/17,@,GSW,W,99,86,107,92.9,92.6,0.226,0.345,0.536,49.5,75.7,13,1.9,,0.5,11.5,20.9,0.179,,0.476,16.2,75,0.071
BOS,66,3/10/17,@,DEN,L,99,119,100.3,120.5,98.7,0.284,0.407,0.543,40.5,55.9,11.1,3.7,,0.494,16.5,18.8,0.235,,0.6,16,69.4,0.2
BOS,67,3/12/17,,CHI,W,100,80,106.5,85.2,93.9,0.047,0.43,0.57,56,55,14.9,8.1,,0.558,19.3,30,0.047,,0.42,15.7,76.5,0.08
BOS,68,3/15/17,,MIN,W,117,104,129.3,114.9,90.5,0.266,0.418,0.663,46.8,79.1,2.2,7.8,,0.627,10.2,15.6,0.228,,0.484,7.4,68.1,0.176
BOS,69,3/17/17,@,BRK,W,98,95,99.7,96.7,98.3,0.341,0.341,0.501,55.4,58.8,7.1,12.5,,0.441,10.9,18.6,0.271,,0.428,9.4,87.8,0.289
BOS,70,3/19/17,@,PHI,L,99,105,98.1,104,100.9,0.345,0.345,0.512,48.8,79.4,7.9,9.1,,0.44,14.9,18.6,0.298,,0.534,13.7,80.5,0.125
BOS,71,3/20/17,,WAS,W,110,102,110,102,100,0.301,0.355,0.522,57.6,47.5,10,11.8,,0.484,11,38,0.215,,0.477,15.6,81,0.233
BOS,72,3/22/17,,IND,W,109,100,119.2,109.4,91.4,0.167,0.321,0.604,48.9,62.8,5.5,3.4,,0.577,15.1,27,0.143,,0.5,12,64.7,0.149
BOS,73,3/24/17,,PHO,W,130,120,119,109.8,109.3,0.372,0.436,0.594,50.5,70.5,7.3,7.5,,0.543,12.1,23.5,0.298,,0.488,10.8,79.2,0.419
BOS,74,3/26/17,,MIA,W,112,108,118.5,114.2,94.5,0.325,0.312,0.636,46.7,78,8.5,4.8,,0.584,15.4,25,0.286,,0.489,12.9,62.8,0.209
BOS,75,3/29/17,,MIL,L,100,103,108.7,111.9,92,0.261,0.42,0.51,54.5,68.6,8.7,5.4,,0.466,14,34.9,0.205,,0.577,14.1,79.4,0.167
BOS,76,3/31/17,,ORL,W,117,116,113.4,112.4,103.2,0.405,0.393,0.591,48.4,71.1,5.8,7.4,,0.524,10,11.9,0.345,,0.469,7.6,78.4,0.245
BOS,77,4/2/17,@,NYK,W,110,94,116.2,99.3,94.7,0.361,0.514,0.659,56.2,55,8.4,5,,0.639,16.9,17.2,0.25,,0.429,10.3,81.8,0.247
BOS,78,4/5/17,,CLE,L,91,114,96.3,120.6,94.5,0.358,0.407,0.485,42.7,63.6,6.3,7.1,,0.451,11.3,17.4,0.222,,0.527,9.1,69.8,0.185
BOS,79,4/6/17,@,ATL,L,116,123,111.3,118.1,104.2,0.378,0.478,0.553,42.2,75.7,8.6,6.1,,0.494,10.3,20.4,0.3,,0.556,14.1,68.3,0.27
BOS,80,4/8/17,@,CHO,W,121,114,125.2,117.9,96.7,0.195,0.448,0.64,50.6,77.8,2.1,8.9,,0.615,8.7,12.5,0.161,,0.506,6.7,84.4,0.345
